"FACULTAD DE CIENCIAS FÍSICO MATEMATICAS Y NATURALES","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN","GRADO","OCD N.º 20/99 Y 12/04","OCS N.º 2/00 Y 37/04","RESOLUCIÓN MINISTERIAL N.º 1374/05","DISP. 1935/13 y DISP. 2373/2019","FALTA PDF DE LA OCD N.º 12/04 (IGUAL LICENCIATURA Y PROFESORADO) LA DISP. 2373/2019 HABILITA EMISIÓN DE DIPLOMAS PREVIOS AL REC. OFICIAL ","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN EDUCACIÓN ESPECIAL","GRADO CCC","OCD N.º 10/17 Y 12/16","OCS N.º 57/16 Y 43/17","RESOLUCIÓN MINISTERIAL N.º 381/19","","","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO UNIVERSITARIO EN EDUCACIÓN PRIMARIA","GRADO","OCD N.º 7/14","OCS N.º 28/14","RESOLUCIÓN MINISTERIAL N.º 3102/15","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN COMUNICACIÓN SOCIAL","GRADO","OCD N.º 9/07","OCS N.º 2/08","RESOLUCIÓN MINISTERIAL N.º 491/09","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN PRODUCCIÓN DE RADIO Y TV","GRADO","OCD N.º 12/09","OCS N.º 39/09","RESOLUCIÓN MINISTERIAL N.º 1678/10","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN PERIODISMO","GRADO","OCD N.º 13/09","OCS N.º 38/09","RESOLUCIÓN MINISTERIAL N.º 1521/10","","","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO UNIVERSITARIO EN MÚSICA POPULAR LATINOAMERICANA","GRADO","OCD N.º 8/16","OCS N.º 45/16","RESOLUCIÓN MINISTERIAL N.º 2379/18","","OCD N.° 11/2023 y su ratificación OCS N.° 58/2023 modifica cambio de cuatrimestre de DOS espacios curriculares","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN PRODUCCIÓN MUSICAL","PREGRADO","OCD N.º 14/18","OCS N.º 43/18 y OCS N.° 16/22","RESOLUCIÓN MINISTERIAL N.º 1233/1995","RES. SPU N.° 18/2023 Titulo intermedio Tec. Universitario Producción Musical ","","","","","","","","","","","","","","","","","","","","",""
"PROFESORADO UNIVERSITARIO EN TEATRO","GRADO","OCD N.° 9/16","OCS N.° 46/16","RESOLUCIÓN MINISTERIAL N.° 2096/20","","OCD N.° 12/2023 y su ampliatoria OD N.° 3/2023 (Modifica espacios curriculares del plan de estudios) OCS N.° 29/2024 Ratifica 12/2023 y ampliatoria","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FACULTAD DE CIENCIAS DE LA SALUD","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRERA","NIVEL","OCD N.° ","OCS N.° ","RESOLUCIÓN MINISTERIAL N.° ","","OBSERVACIONES","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN FONOAUDIOLOGÍA","GRADO","OCD N.° 1/2024","OCS N.° 23/24","DISP. MINISTERIO DE EDUCACIÓN N.° 8/25","","OCD N.° 1/2024 TO Plan de Estudios ratificada por OCS N.° 23/2024 ","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN KINESIOLOGÍA Y FISIATRÍA","GRADO","-","OCS N.º 11/13","RESOLUCIÓN MINISTERIAL N. 1244/14","","OCS ES LA DE CREACIÓN","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN ENFERMERÍA","GRADO","OCD N.º 2/18","OCS N.º 8/18","RESOLUCIÓN MINISTERIAL N.º 2444/19 (Lic. en Enfermería) y RM N.°  2887/23 (Título intermedio Enfermero Universitario)","RES. CONEAU N.° 8/2018- RES. CONEAU 151/2024 EXTIENDE ACREDITACIÓN DE LA 8/2018","RM 2887/23- OCD N.° 3/2023 mod. la OCD N.° 2/2018 OCS N.° 31/2023","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN NUTRICIÓN","GRADO","OCD N.º 7/10 Y 11/9","OCS N.º 16/10","RESOLUCIÓN MINISTERIAL N.º 1861/11","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN TERAPIA OCUPACIONAL ","GRADO","OCD N.° 5/2025","----","","","ESPERAR RM- ES CREACIÓN - y esperar las ratificaciones del CS- la OCD N.° 5/2025 (Reg. Correlatividades)","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FACULTAD DE TURISMO Y URBANISMO","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRERA","NIVEL","OCD N.° ","OCS N.° ","RESOLUCIÓN MINISTERIAL N.° ","","OBSERVACIONES","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN GESTIÓN PARA EL DESARROLLO URBANO Y REGIONAL","GRADO","-","OCS N.º 49/19","RESOLUCIÓN MINISTERIAL N.°  589/20","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN HOTELERÍA","GRADO","OCD N.º 5/21","OCS N.º 2/14 Y 13/22","RESOLUCIÓN MINISTERIAL N.° 994/15","","","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN TURISMO ","GRADO","-","OCS N.º 3/14","RESOLUCIÓN MINISTERIAL N.°  1303/15","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN PARQUES, JARDINES Y FLORICULTURA","PREGRADO","-","OCS N.º 11/97","RESOLUCIÓN MINISTERIAL N.° 283/03","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN PRODUCCIÓN DE PLANTAS AROMÁTICAS","PREGRADO ","-","OCS N.º 4/16, 38/08 Y 56/19","RESOLUCIÓN MINISTERIAL N.°  31/09","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN GESTIÓN HOTELERA","PREGRADO","-","OCS N.º 29/04","RESOLUCIÓN MINISTERIAL N.°  1569/04","","","","","","","","","","","","","","","","","","","","","",""
"TECNICATURA UNIVERSITARIA EN GESTIÓN TURÍSTICA","PREGRADO","-","OCS N.º 48/03 Y 37/11","RESOLUCIÓN MINISTERIAL N.°  917/04","","","","","","","","","","","","","","","","","","","","","",""
"GUÍA UNIVERISTARIO DE TURISMO","PREGRADO","OCD N.° 6/2023","OCS N.º 18/2024","RESOLUCIÓN MINISTERIAL N.°  1289/08","OCS N.° 14/08 Creación - OCD N° 7/23 y su ratificación OCS N.° 19/24 Reg. correlatividades ","","","","","","","","","","","","","","","","","","","","",""
"FACULTAD DE INGENIERIA Y CIENCIAS AGROPECUARIAS ","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARRERA","NIVEL","OCD N.° ","OCS N.° ","RESOLUCIÓN MINISTERIAL N.° ","","OBSERVACIONES","","","","","","","","","","","","","","","","","","","",""
"INGENIERIA AGRONOMICA ","GRADO","OCD N.º 19/2024 -rect. OCD N.° 3/2025","OCS N.º 12/2025","RESOLUCIÓN MINISTERIAL N.° 37/18","RES. CONEAU N.° 2017/15 y 296/16","OCD N.° 19/2024 y su rectificatoria OCD N.° 3/2025 del Plan de Estudios OCS N.° 12/2025- OCS N.° 13/2025 Ratifica Plan de Transición- OCS N.° 14/2025 Ratif. Ciclo optativo- OCS N.° 15/2025 Ratif. Reg. Correlatividades-  ESPERAR RM","","","","","","","","","","","","","","","","","","","",""
"LICENCIATURA EN BROMATOLOGIA ","GRADO","OCD N.°  6/2021 ","OCS N.° 51/21","RESOLUCIÓN MINISTERIAL N.° 847/23","","","","","","","","","","","","","","","","","","","","","",""
